,Segment,Country,Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Net Sales,COGS,Order Date,Shipping Cost,Taxes,Category,Region,Shipping Method,Payment Method,Customer Segment,Order Priority,Promotion,Return Status,Order Channel,Region Manager,Marketing Source
0,Government,Canada,Carretera,None,1618.5,20,32370,0,32370,16185,2014-01-01 Government Canada Carretera,8092.5,4855.5,Category1,North,Express,PayPal,Wholesale,Low,Summer Sale,Not Returned,In-Store,Manager3,
1,Government,Germany,Carretera,None,1321,20,26420,0,26420,13210,2014-01-01 Government Germany Carretera,6605,3963,Category1,East,Express,PayPal,Wholesale,High,,,Online,Manager1,Email Campaign
2,Midmarket,France,Carretera,None,2178,15,32670,0,32670,21780,2014-06-01 Midmarket France Carretera,10890,4900.5,Category1,North,Express,Cash,Wholesale,High,Flash Sale,,In-Store,Manager3,Email Campaign
3,Midmarket,Germany,Carretera,None,888,15,13320,0,13320,8880,2014-06-01 Midmarket Germany Carretera,4440,1998,,East,Express,Cash,Wholesale,High,Flash Sale,,Phone,Manager3,Social Media
4,Midmarket,Mexico,Carretera,None,2470,15,37050,0,37050,24700,2014-06-01 Midmarket Mexico Carretera,12350,5557.5,Category2,West,Standard,Credit Card,Wholesale,Medium,Flash Sale,Returned,In-Store,Manager2,Social Media
5,Government,Germany,Carretera,None,1513,350,529550,0,529550,393380,2014-12-01 Government Germany Carretera,7565,79432.5,Category1,North,Standard,Cash,Wholesale,Medium,Summer Sale,,Phone,Manager1,Social Media
6,Midmarket,Germany,Montana,None,921,15,13815,0,13815,9210,2014-03-01 Midmarket Germany Montana,4605,2072.25,Category2,East,Priority,Credit Card,Retail,Medium,Summer Sale,Returned,In-Store,Manager2,Email Campaign
7,Channel Partners,Canada,Montana,None,2518,12,30216,0,30216,7554,2014-06-01 Channel Partners Canada Montana,12590,4532.4,Category1,North,Standard,Cash,Wholesale,Medium,Summer Sale,,In-Store,Manager3,Social Media
8,Government,France,Montana,None,1899,20,37980,0,37980,18990,2014-06-01 Government France Montana,9495,5697,Category3,East,Express,PayPal,Retail,Low,Summer Sale,Not Returned,Phone,Manager3,Email Campaign
9,Channel Partners,Germany,Montana,None,1545,12,18540,0,18540,4635,2014-06-01 Channel Partners Germany Montana,7725,2781,Category1,East,Express,PayPal,Wholesale,High,Summer Sale,Returned,Online,Manager3,TV Ads
10,Midmarket,Mexico,Montana,None,2470,15,37050,0,37050,24700,2014-06-01 Midmarket Mexico Montana,12350,5557.5,Category1,North,Express,PayPal,Retail,High,Flash Sale,,In-Store,Manager1,
11,Enterprise,Canada,Montana,None,2665.5,125,333187.5,0,333187.5,319860,2014-07-01 Enterprise Canada Montana,13327.5,49978.125,Category3,West,Priority,PayPal,Wholesale,Medium,Summer Sale,,Online,Manager2,Email Campaign
12,Small Business,Mexico,Montana,None,958,300,287400,0,287400,239500,2014-08-01 Small Business Mexico Montana,4790,43110,Category1,West,Standard,Cash,Wholesale,Medium,Flash Sale,Returned,Phone,Manager1,Social Media
13,Government,Germany,Montana,None,2146,7,15022,0,15022,10730,2014-09-01 Government Germany Montana,10730,2253.3,Category1,North,Priority,PayPal,Wholesale,Medium,,,Online,Manager3,Social Media
